,main category id,venue main category
458,4bf58dd8d48988d1de931735,Tattoo Parlor
466,52f2ab2ebcbc57f1066b8b18,Comic Shop
469,52e81612bcbc57f1066b79e7,Circus
472,4bf58dd8d48988d11d951735,Butcher
480,4bf58dd8d48988d10b951735,Video Game Store
492,4bf58dd8d48988d115941735,Middle Eastern Restaurant
498,4bf58dd8d48988d101951735,Thrift / Vintage Store
501,4bf58dd8d48988d118951735,Grocery Store
509,4bf58dd8d48988d165941735,Scenic Lookout
512,4bf58dd8d48988d107941735,Argentinian Restaurant
525,57558b36e4b065ecebd306d1,Corsican Restaurant
