lon;lat
2.249464;48.815284
2.249464;48.817059
2.249464;48.818833
2.249464;48.820607
2.249464;48.822382
2.249464;48.824156
2.249464;48.825930
2.249464;48.827705
2.249464;48.829479
2.249464;48.831253
2.249464;48.833027
2.249464;48.834801
2.249464;48.836575
2.249464;48.838348
2.249464;48.840122
2.249464;48.841896
2.249464;48.843669
2.249464;48.845443
2.249464;48.847216
2.249464;48.848990
2.249464;48.850763
2.249464;48.852537
2.249464;48.854310
2.249464;48.856083
2.249464;48.857856
2.249464;48.859629
2.249464;48.861402
2.249464;48.863175
2.249464;48.864948
2.249464;48.866721
2.249464;48.868493
2.249464;48.870266
2.249464;48.872039
2.249464;48.873811
2.249464;48.875584
2.249464;48.877356
2.249464;48.879129
2.249464;48.880901
2.249464;48.882673
2.249464;48.884445
2.249464;48.886217
2.249464;48.887989
2.249464;48.889761
2.249464;48.891533
2.249464;48.893305
2.249464;48.895077
2.249464;48.896849
2.249464;48.898620
2.249464;48.900392
2.249464;48.902164
2.249464;48.903935
2.252159;48.815284
2.252159;48.817059
2.252159;48.818833
2.252159;48.820607
2.252159;48.822382
2.252159;48.824156
2.252159;48.825930
2.252159;48.827705
2.252159;48.829479
2.252159;48.831253
2.252159;48.833027
2.252159;48.834801
2.252159;48.836575
2.252159;48.838348
2.252159;48.840122
2.252159;48.841896
2.252159;48.843669
2.252159;48.845443
2.252159;48.847216
2.252159;48.848990
2.252159;48.850763
2.252159;48.852537
2.252159;48.854310
2.252159;48.856083
2.252159;48.857856
2.252159;48.859629
2.252159;48.861402
2.252159;48.863175
2.252159;48.864948
2.252159;48.866721
2.252159;48.868493
2.252159;48.870266
2.252159;48.872039
2.252159;48.873811
2.252159;48.875584
2.252159;48.877356
2.252159;48.879129
2.252159;48.880901
2.252159;48.882673
2.252159;48.884445
2.252159;48.886217
2.252159;48.887989
2.252159;48.889761
2.252159;48.891533
2.252159;48.893305
2.252159;48.895077
2.252159;48.896849
2.252159;48.898620
2.252159;48.900392
2.252159;48.902164
2.252159;48.903935
2.254854;48.815284
2.254854;48.817059
2.254854;48.818833
2.254854;48.820607
2.254854;48.822382
2.254854;48.824156
2.254854;48.825930
2.254854;48.827705
2.254854;48.829479
2.254854;48.831253
2.254854;48.833027
2.254854;48.834801
2.254854;48.836575
2.254854;48.838348
2.254854;48.840122
2.254854;48.841896
2.254854;48.843669
2.254854;48.845443
2.254854;48.847216
2.254854;48.848990
2.254854;48.850763
2.254854;48.852537
2.254854;48.854310
2.254854;48.856083
2.254854;48.857856
2.254854;48.859629
2.254854;48.861402
2.254854;48.863175
2.254854;48.864948
