main category id,venue main category,immediate parent category id,immediate parent category,top parent category id,top parent category,occurence,final category tag id,final category tag
4bf58dd8d48988d14e941735,American Restaurant,,,4d4b7105d754a06374d81259,Food,2,4bf58dd8d48988d1c4941735,Restaurant
4c2cd86ed066bed06c3c5209,Gluten-free Restaurant,,,4d4b7105d754a06374d81259,Food,1,4bf58dd8d48988d1c4941735,Restaurant
52e81612bcbc57f1066b7a02,Belgian Restaurant,,,4d4b7105d754a06374d81259,Food,1,4bf58dd8d48988d1c4941735,Restaurant
52e81612bcbc57f1066b79fd,Jewish Restaurant,,,4d4b7105d754a06374d81259,Food,1,4bf58dd8d48988d1c4941735,Restaurant
4bf58dd8d48988d1c1941735,Mexican Restaurant,,,4d4b7105d754a06374d81259,Food,1,4bf58dd8d48988d1c4941735,Restaurant
4def73e84765ae376e57713a,Portuguese Restaurant,,,4d4b7105d754a06374d81259,Food,1,4bf58dd8d48988d1c4941735,Restaurant
4bf58dd8d48988d1c4941735,Restaurant,,,4d4b7105d754a06374d81259,Food,5,4bf58dd8d48988d1c4941735,Restaurant
4bf58dd8d48988d1ce941735,Seafood Restaurant,,,4d4b7105d754a06374d81259,Food,2,4bf58dd8d48988d1c4941735,Restaurant
4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant,,,4d4b7105d754a06374d81259,Food,1,4bf58dd8d48988d1c4941735,Restaurant
4bf58dd8d48988d16a941735,Bakery,,,4d4b7105d754a06374d81259,Food,14,4bf58dd8d48988d16a941735,Bakery
4bf58dd8d48988d143941735,Breakfast Spot,,,4d4b7105d754a06374d81259,Food,4,4bf58dd8d48988d143941735,Breakfast Spot
4bf58dd8d48988d16d941735,Café,,,4d4b7105d754a06374d81259,Food,12,4bf58dd8d48988d16d941735,Café
4bf58dd8d48988d1e0931735,Coffee Shop,,,4d4b7105d754a06374d81259,Food,19,4bf58dd8d48988d1e0931735,Coffee Shop
52e81612bcbc57f1066b79f2,Creperie,,,4d4b7105d754a06374d81259,Food,7,52e81612bcbc57f1066b79f2,Creperie
52e81612bcbc57f1066b79f1,Bistro,,,4d4b7105d754a06374d81259,Food,5,4d4b7105d754a06374d81259,Food
4bf58dd8d48988d16c941735,Burger Joint,,,4d4b7105d754a06374d81259,Food,5,4d4b7105d754a06374d81259,Food
4bf58dd8d48988d155941735,Gastropub,,,4d4b7105d754a06374d81259,Food,2,4d4b7105d754a06374d81259,Food
4bf58dd8d48988d112941735,Juice Bar,,,4d4b7105d754a06374d81259,Food,2,4d4b7105d754a06374d81259,Food
4bf58dd8d48988d1ca941735,Pizza Place,,,4d4b7105d754a06374d81259,Food,5,4d4b7105d754a06374d81259,Food
4bf58dd8d48988d1bd941735,Salad Place,,,4d4b7105d754a06374d81259,Food,1,4d4b7105d754a06374d81259,Food
