,point index,point latitude,point longitude,venue,venue latitude,venue longitude,final category tag id,final category tag
0,0,48.8472164702487,2.2494640000000055,Le Village,48.8461258420646,2.250263674125079,4d4b7105d754a06378d81259,Shop & Service
1,0,48.8472164702487,2.2494640000000055,Restaurant Le Roland Garros,48.84722614543952,2.2506830401653586,4bf58dd8d48988d10c941735,French Restaurant
2,0,48.8472164702487,2.2494640000000055,Tenniseum – Musée de la FFT,48.847435578169375,2.2505315942099364,4d4b7104d754a06370d81259,Arts & Entertainment
3,0,48.8472164702487,2.2494640000000055,Club des Loges,48.84778476433174,2.2468975416525487,4bf58dd8d48988d1c4941735,Restaurant
4,0,48.8472164702487,2.2494640000000055,Place des Mousquetaires,48.84680317777826,2.249980902238579,4bf58dd8d48988d164941735,Plaza
5,1,48.848989899663245,2.2494640000000055,Tenniseum – Musée de la FFT,48.847435578169375,2.2505315942099364,4d4b7104d754a06370d81259,Arts & Entertainment
6,9,48.86317507393124,2.2494640000000055,Le Pré Catelan,48.864035439234364,2.2507005929946895,4bf58dd8d48988d10c941735,French Restaurant
7,10,48.864947938091596,2.2494640000000055,Le Pré Catelan,48.864035439234364,2.2507005929946895,4bf58dd8d48988d10c941735,French Restaurant
8,12,48.86849347800269,2.2494640000000055,Belvédère Parc de Bagatelle,48.86854325517829,2.2470257600292487,4d4b7105d754a06377d81259,Outdoors & Recreation
9,15,48.87381131685318,2.2494640000000055,Chalet les Bosquettes,48.87398132153009,2.2476786836378513,4d4b7105d754a06374d81259,Food
10,16,48.83834838103579,2.2521589458523636,Stade Francais,48.83921421348204,2.252629160715354,4f4528bc4b90abdf24c9de85,Athletics & Sports
11,16,48.83834838103579,2.2521589458523636,Bistrot Da Vinci,48.838680163206476,2.251980933037006,4bf58dd8d48988d110941735,Italian Restaurant
12,17,48.840122124498826,2.2521589458523636,Stade Francais,48.83921421348204,2.252629160715354,4f4528bc4b90abdf24c9de85,Athletics & Sports
13,17,48.840122124498826,2.2521589458523636,Club House VIP,48.84140902504471,2.2530406716907154,4bf58dd8d48988d116941735,Bar
14,17,48.840122124498826,2.2521589458523636,Bistrot Da Vinci,48.838680163206476,2.251980933037006,4bf58dd8d48988d110941735,Italian Restaurant
15,17,48.840122124498826,2.2521589458523636,Le 70,48.84186690049274,2.2515300634848776,4bf58dd8d48988d10c941735,French Restaurant
16,17,48.840122124498826,2.2521589458523636,Vestiaire Visiteur du Parc des Princes,48.84184210659201,2.252025604248047,4f4528bc4b90abdf24c9de85,Athletics & Sports
17,18,48.84189580515111,2.2521589458523636,Atelier-Appartement De Le Corbusier,48.843326331023015,2.251496012922754,4d4b7104d754a06370d81259,Arts & Entertainment
18,18,48.84189580515111,2.2521589458523636,Club House VIP,48.84140902504471,2.2530406716907154,4bf58dd8d48988d116941735,Bar
19,18,48.84189580515111,2.2521589458523636,Le 70,48.84186690049274,2.2515300634848776,4bf58dd8d48988d10c941735,French Restaurant
20,18,48.84189580515111,2.2521589458523636,Vestiaire Visiteur du Parc des Princes,48.84184210659201,2.252025604248047,4f4528bc4b90abdf24c9de85,Athletics & Sports
21,19,48.843669422993166,2.2521589458523636,Hôtel Molitor,48.84499130316304,2.2526405423278675,4bf58dd8d48988d1fa931735,Hotel
22,19,48.843669422993166,2.2521589458523636,Atelier-Appartement De Le Corbusier,48.843326331023015,2.251496012922754,4d4b7104d754a06370d81259,Arts & Entertainment
23,20,48.8472164702487,2.2521589458523636,Le Village,48.8461258420646,2.250263674125079,4d4b7105d754a06378d81259,Shop & Service
24,20,48.8472164702487,2.2521589458523636,Restaurant Le Roland Garros,48.84722614543952,2.2506830401653586,4bf58dd8d48988d10c941735,French Restaurant
25,20,48.8472164702487,2.2521589458523636,Tenniseum – Musée de la FFT,48.847435578169375,2.2505315942099364,4d4b7104d754a06370d81259,Arts & Entertainment
26,20,48.8472164702487,2.2521589458523636,Place des Mousquetaires,48.84680317777826,2.249980902238579,4bf58dd8d48988d164941735,Plaza
27,29,48.86317507393124,2.2521589458523636,Le Pré Catelan,48.864035439234364,2.2507005929946895,4bf58dd8d48988d10c941735,French Restaurant
28,29,48.86317507393124,2.2521589458523636,Théâtre de Verdure,48.86425861304767,2.2520996921209524,4d4b7105d754a06377d81259,Outdoors & Recreation
29,30,48.864947938091596,2.2521589458523636,Le Pré Catelan,48.864035439234364,2.2507005929946895,4bf58dd8d48988d10c941735,French Restaurant
30,30,48.864947938091596,2.2521589458523636,Jardin du Pré Catelan,48.8650253061914,2.2527122497558594,4d4b7105d754a06377d81259,Outdoors & Recreation
31,30,48.864947938091596,2.2521589458523636,Théâtre de Verdure,48.86425861304767,2.2520996921209524,4d4b7105d754a06377d81259,Outdoors & Recreation
32,31,48.866720739448574,2.2521589458523636,Jardin du Pré Catelan,48.8650253061914,2.2527122497558594,4d4b7105d754a06377d81259,Outdoors & Recreation
33,36,48.83657457476149,2.2548538917047223,Mon Bistrot,48.835686437524956,2.2536064105868605,4d4b7105d754a06374d81259,Food
34,36,48.83657457476149,2.2548538917047223,Radisson Blu Hôtel Paris Boulogne,48.836257548452785,2.252848495662647,4bf58dd8d48988d1fa931735,Hotel
35,36,48.83657457476149,2.2548538917047223,Carrefour City,48.83494296206521,2.2548097372055054,4bf58dd8d48988d1f9941735,Food & Drink Shop
36,36,48.83657457476149,2.2548538917047223,Sushipark,48.83590374796488,2.25408388681324,4bf58dd8d48988d111941735,Japanese Restaurant
37,37,48.83834838103579,2.2548538917047223,Le Cardinal,48.83762945953403,2.2571654353080395,4bf58dd8d48988d10c941735,French Restaurant
38,37,48.83834838103579,2.2548538917047223,Stade Francais,48.83921421348204,2.252629160715354,4f4528bc4b90abdf24c9de85,Athletics & Sports
39,37,48.83834838103579,2.2548538917047223,Les Princes,48.838971697715344,2.2554481029510494,4bf58dd8d48988d10c941735,French Restaurant
40,37,48.83834838103579,2.2548538917047223,Place de la Porte de Saint-Cloud,48.83788068736179,2.2570037841796875,4bf58dd8d48988d164941735,Plaza
41,37,48.83834838103579,2.2548538917047223,Aux Trois Obus,48.83851153557125,2.2568896065649366,4d4b7105d754a06374d81259,Food
42,38,48.840122124498826,2.2548538917047223,Stade Francais,48.83921421348204,2.252629160715354,4f4528bc4b90abdf24c9de85,Athletics & Sports
43,38,48.840122124498826,2.2548538917047223,Club House VIP,48.84140902504471,2.2530406716907154,4bf58dd8d48988d116941735,Bar
